scenario,time,cluster_load,cluster_committed_load,active_servers,cluster_overbooking_ratio
scen_09,9,24.046530759197935,24.046530759197935,4,0.7514540862249355
scen_09,10,25.895641274628314,25.895641274628314,4,0.8092387898321348
scen_09,11,27.001107178284904,27.0011071782849,4,0.8437845993214032
scen_09,12,27.167539093976245,27.16753909397625,4,0.8489855966867578
scen_09,13,26.397173063657103,26.3971730636571,4,0.8249116582392844
scen_09,14,25.95132968920495,25.95132968920495,4,0.8109790527876547
scen_09,15,25.966439307609722,25.966439307609722,4,0.8114512283628038
scen_09,16,27.099806775686528,27.099806775686528,4,0.846868961740204
scen_09,17,26.560801941764588,26.56080194176459,4,0.8300250606801435
scen_09,18,27.174932464974322,27.174932464974326,4,0.8492166395304477
scen_09,19,24.2257646111282,25.453770552034467,4,0.7954303297510771
scen_09,20,26.56400665250306,28.252745937635076,4,0.8828983105510961
scen_09,21,27.770176200009658,30.013841426300836,4,0.9379325445719011
scen_09,22,22.174934901532954,25.510880058522307,4,0.7972150018288221
scen_09,23,27.20272087711343,28.75883238858787,4,0.8987135121433709
scen_10,0,26.101853476365104,26.101853476365104,4,0.8156829211364095
scen_10,1,27.057111118646013,27.057111118646013,4,0.8455347224576879
scen_10,2,24.03854039924077,24.038540399240773,4,0.7512043874762742
scen_10,3,26.95458766492291,26.95458766492291,4,0.842330864528841
scen_10,4,29.261686252206356,29.26168625220636,4,0.9144276953814487
scen_10,5,25.856611829315206,25.856611829315202,4,0.8080191196661001
scen_10,6,27.71388397370782,27.71388397370782,4,0.8660588741783694
scen_10,7,29.812530458180063,29.812530458180063,4,0.931641576818127
scen_10,8,29.84881324453786,29.84881324453786,4,0.9327754138918081
scen_10,9,25.96944145494952,25.96944145494952,4,0.8115450454671725
scen_10,10,24.747270740851416,24.747270740851416,4,0.7733522106516068
scen_10,11,28.1589604422272,28.1589604422272,4,0.8799675138196
scen_10,12,26.17460115692215,26.17460115692215,4,0.8179562861538172
scen_10,13,24.896112500891036,24.896112500891036,4,0.7780035156528449
scen_10,14,27.757496955937988,27.757496955937988,4,0.8674217798730621
scen_10,15,28.651684136534506,28.651684136534506,4,0.8953651292667033
scen_10,16,29.088077150033758,29.088077150033758,4,0.9090024109385549
scen_10,17,23.722452657253577,23.722452657253577,4,0.7413266455391743
scen_10,18,28.75413690876117,28.754136908761172,4,0.8985667783987866
scen_10,19,25.668466994342964,25.668466994342964,4,0.8021395935732176
scen_10,20,27.73205304357363,27.73205304357363,4,0.8666266576116759
scen_10,21,28.108977876836875,28.108977876836875,4,0.8784055586511523
scen_10,22,25.73759665436623,25.73759665436623,4,0.8042998954489446
scen_10,23,28.29481480174468,28.294814801744675,4,0.8842129625545211
